Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
AOAH	16.80598	13.306421	17.906366	19.427814	20.987946	15.891804	8.90128	27.846998	21.69677	14.729409	13.637456	18.274174	22.14231	19.3074	13.174708	20.883217	24.54066	9.929781	18.051603	22.335255
AOC1	105.37452	195.99696	156.96646	147.27519	150.60062	178.71683	114.63678	224.62715	226.85855	284.56033	189.47443	142.6987	203.06653	222.87689	208.13805	204.73788	279.8995	225.28517	209.28752	201.00854
AOC3	8.405419	14.016536	9.804436	6.372422	16.872301	10.275799	22.782051	5.842572	5.76713	3.5606942	2.4881759	3.58279	4.479308	4.0079494	15.526651	2.438923	3.9370992	5.931535	1.228533	3.43905
AP000275.65	3.8504648	4.9506326	2.4159899	2.569059	4.8011293	1.81598	0.997357	0.010000001	1.424126	1.25364	3.349144	1.38731	5.45024	2.30894	3.307966	3.15863	0.528489	2.7305803	0.888322	3.91029
AP000687.1	0.010000001	0.561279	0.334142	1.51925	0.641213	0.560776	0.010000001	0.337327	0.010000001	0.010000001	0.010000001	0.92005	0.319619	0.473052	0.349617	0.010000001	0.21142702	0.730523	0.010000001	0.010000001
AP000769.1	0.010000001	0.010000001	1.22081	0.010000001	0.010000001	1.27482	1.21003	0.010000001	0.010000001	0.010000001	0.21536502	0.58281	0.010000001	0.185186	0.010000001	0.897434	0.010000001	0.010000001	0.010000001	0.010000001
AP003419.11	8.952729	1.68808	0.055547304	22.865604	5.6461606	3.14489	4.4504	8.78333	0.010000001	2.89677	1.62452	3.2598803	2.24496	2.84029	0.010000001	1.45075	1.06873	4.8086896	0.010000001	0.010000001
AP1AR	16.371687	12.813288	14.621834	13.110699	16.068577	18.202229	13.8523445	24.701183	23.036032	14.400964	20.720888	19.621332	15.480392	15.74918	18.745783	22.726767	16.325401	16.680847	17.721525	19.265238
AP1B1	33.27531	28.032734	30.676603	27.274687	30.80837	39.039635	24.734964	34.65553	35.236694	28.774649	27.957258	28.164312	32.729073	44.234997	35.05375	43.904095	36.50327	34.60193	42.773033	28.873968
AP1G1	31.078064	27.307447	24.30676	21.142622	26.661055	24.820423	28.448633	28.637615	31.742487	20.303387	22.916607	21.02304	27.081404	24.163675	23.968502	28.618862	25.318724	24.958988	27.711433	22.891155
AP1G2	25.09988	20.621595	27.939856	39.597195	24.461365	22.106222	20.824858	28.290049	46.41311	41.130856	25.633099	18.052982	18.141861	24.136658	31.115866	31.94639	22.527006	17.010275	16.342682	42.479004
AP1M1	10.622827	9.549522	10.1634	8.761526	12.435746	9.20186	9.617112	8.932343	7.7886076	8.753168	8.181171	10.410736	9.244983	8.980819	7.9388394	9.796181	7.379247	9.28612	10.605204	9.690056
